id,"alias","title"
1,"tex-mex","Tex-Mex"
2,"newamerican","American (New)"
3,"latin","Latin American"
4,"thai","Thai"
5,"bubbletea","Bubble Tea"
6,"salad","Salad"
7,"mexican","Mexican"
8,"asianfusion","Asian Fusion"
9,"chinese","Chinese"
10,"korean","Korean"
11,"mideastern","Middle Eastern"
12,"mediterranean","Mediterranean"
13,"vegan","Vegan"
14,"foodtrucks","Food Trucks"
15,"burgers","Burgers"
16,"sandwiches","Sandwiches"
17,"pizza","Pizza"
18,"gelato","Gelato"
19,"wine_bars","Wine Bars"
20,"bbq","Barbeque"
21,"peruvian","Peruvian"
22,"hotdogs","Fast Food"
23,"creperies","Creperies"
24,"ramen","Ramen"
25,"chicken_wings","Chicken Wings"
26,"bakeries","Bakeries"
27,"breakfast_brunch","Breakfast & Brunch"
28,"cafes","Cafes"
29,"tradamerican","American (Traditional)"
30,"delis","Delis"
31,"buffets","Buffets"
32,"hotpot","Hot Pot"
33,"french","French"
34,"halal","Halal"
35,"desserts","Desserts"
36,"icecream","Ice Cream & Frozen Yogurt"
37,"sushi","Sushi Bars"
38,"mongolian","Mongolian"
39,"breweries","Breweries"
40,"persian","Persian/Iranian"
41,"soulfood","Soul Food"
42,"seafood","Seafood"
43,"poke","Poke"
44,"hawaiian","Hawaiian"
45,"steak","Steakhouses"
46,"indpak","Indian"
47,"bars","Bars"
48,"cajun","Cajun/Creole"
49,"diners","Diners"
50,"hotdog","Hot Dogs"
51,"donuts","Donuts"
52,"coffee","Coffee & Tea"
53,"italian","Italian"
54,"panasian","Pan Asian"
55,"sportsbars","Sports Bars"
56,"gastropubs","Gastropubs"
57,"pubs","Pubs"
58,"cocktailbars","Cocktail Bars"
59,"german","German"
60,"comfortfood","Comfort Food"
61,"japanese","Japanese"
62,"vietnamese","Vietnamese"
63,"meats","Meat Shops"
64,"grocery","Grocery"
65,"tacos","Tacos"
66,"hookah_bars","Hookah Bars"
67,"soup","Soup"
68,"newmexican","New Mexican Cuisine"
69,"salvadoran","Salvadoran"
70,"southern","Southern"
71,"gluten_free","Gluten-Free"
72,"beer_and_wine","Beer, Wine & Spirits"
73,"streetvendors","Street Vendors"
74,"cheesesteaks","Cheesesteaks"
75,"foodstands","Food Stands"
76,"restaurants","Restaurants"
77,"drugstores","Drugstores"
78,"noodles","Noodles"
79,"venues","Venues & Event Spaces"
80,"tapasmallplates","Tapas/Small Plates"
81,"vegetarian","Vegetarian"
82,"food","Food"
83,"chickenshop","Chicken Shop"
84,"food_court","Food Court"
85,"cafeteria","Cafeteria"
86,"convenience","Convenience Stores"
87,"diyfood","Do-It-Yourself Food"
88,"czech","Czech"
89,"importedfood","Imported Food"
90,"fooddeliveryservices","Food Delivery Services"
91,"movietheaters","Cinema"
92,"juicebars","Juice Bars & Smoothies"
93,"shavedice","Shaved Ice"
94,"szechuan","Szechuan"
95,"collegeuniv","Colleges & Universities"
96,"arcades","Arcades"
97,"catering","Caterers"
98,"poolhalls","Pool Halls"
